GEO.id,GEO.id2,GEO.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Domestic"
310M300US35660,35660,"Niles-Benton Harbor, MI Metro Area",-2558,939,13168,12229,-3467,2648,-6115,102,79,1718,1639,27,434,-407
310M300US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",102377,-19361,45888,65249,120534,14254,106280,16248,-3501,6463,9964,19678,2299,17379
310M300US35980,35980,"Norwich-New London, CT Metro Area",-5026,2266,19518,17252,-7365,6539,-13904,-274,43,2564,2521,-314,720,-1034
310M300US36100,36100,"Ocala, FL Metro Area",23052,-9190,24716,33906,32200,4321,27879,6214,-1412,3533,4945,7606,717,6889
310M300US36140,36140,"Ocean City, NJ Metro Area",-3712,-2857,6568,9425,-781,1268,-2049,-367,-410,872,1282,50,145,-95
310M300US36220,36220,"Odessa, TX Metro Area",19951,11792,20300,8508,7828,1529,6299,-493,1577,2797,1220,-2078,338,-2416
310M300US36260,36260,"Ogden-Clearfield, UT Metro Area",68199,52209,78446,26237,16239,3795,12444,12363,7342,10946,3604,5028,466,4562
310M300US36420,36420,"Oklahoma City, OK Metro Area",130746,55478,137709,82231,74818,22616,52202,11274,7464,19079,11615,3847,3599,248
310M300US36500,36500,"Olympia-Tumwater, WA Metro Area",28328,7579,22550,14971,20793,4609,16184,6665,915,3171,2256,5731,588,5143
310M300US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",67960,48795,96558,47763,19648,14383,5265,9313,6754,13421,6667,2596,2213,383
310M300US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",375432,83072,200843,117771,291358,135860,155498,56498,10905,29173,18268,45528,22207,23321
310M300US36780,36780,"Oshkosh-Neenah, WI Metro Area",3420,3249,13715,10466,288,772,-484,859,432,1911,1479,430,124,306
310M300US36980,36980,"Owensboro, KY Metro Area",3622,2636,11374,8738,1077,658,419,453,359,1582,1223,100,117,-17
310M300US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",30832,35961,75470,39509,-4681,12142,-16823,3127,3886,9898,6012,-739,2008,-2747
310M300US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",45784,-10917,37369,48286,56706,9295,47411,11263,-1899,5309,7208,13126,1437,11689
310M300US37460,37460,"Panama City, FL Metro Area",15008,3243,17431,14188,11676,2292,9384,631,364,2468,2104,276,249,27
310M300US37620,37620,"Parkersburg-Vienna, WV Metro Area",-1776,-549,7500,8049,-1142,-123,-1019,-590,-118,991,1109,-469,-19,-450
310M300US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",38792,8870,41729,32859,29770,6434,23336,6010,960,5899,4939,5045,470,4575
