Source: CPS Annual Social and Economic (March) Supplement 201703
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Different County, Same State","105618","0","1688","14191","3740","9647","0","23640","0","5856","4721","13641","7609","7412","0","4620","7595","0","0","0","1258",""
"Different State","120266","0","8804","4166","24578","34219","2428","13870","0","10574","2889","0","16391","0","0","0","0","0","2347","0","0",""
"Same County","328926","0","24210","30568","27582","13954","9222","23331","0","21982","18076","56730","29194","29839","0","33922","0","0","5317","4999","0",""
" -> Total -> Total Louisiana","4433668","3944493","33799","86798","66073","25656","11909","35127","1565","11547","13834","47148","11282","33936","4784","47011","5484","0","4975","39535","8712",""
"Not Elsewhere Classified","3944999","3944493","0","0","0","0","0","0","0","0","0","0","506","0","0","0","0","0","0","0","0",""
"Different County, Same State","115569","0","5250","17831","20509","9934","0","14578","0","5472","5071","898","0","8861","0","12598","2999","0","0","5361","6207",""
"Different State","48822","0","890","9492","5842","15722","2440","4217","0","6075","0","0","0","0","0","0","2485","0","0","0","1659",""
"Same County","324278","0","27659","59475","39722","0","9469","16332","1565","0","8763","46250","10776","25075","4784","34413","0","0","4975","34174","846",""
" -> Total -> Total Maine","1336776","1217468","3107","13566","16846","13521","0","5735","0","0","4287","29392","8276","11751","0","2401","1390","0","1299","0","7737",""
"Not Elsewhere Classified","1217468","1217468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","22814","0","0","1862","6036","2530","0","0","0","0","3039","6907","0","0","0","0","0","0","1299","0","1141",""
"Different State","15555","0","0","0","0","7218","0","0","0","0","0","0","7001","1336","0","0","0","0","0","0","0",""
"Same County","80939","0","3107","11704","10810","3773","0","5735","0","0","1248","22485","1275","10415","0","2401","1390","0","0","0","6596",""
" -> Total -> Total Maryland","5778424","5254221","24384","72243","32819","43117","0","10270","13180","10162","47995","55250","8270","65978","11884","56733","2126","0","40827","0","28965",""
"Not Elsewhere Classified","5267587","5254221","0","0","13366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","112235","0","6271","10922","1385","11382","0","5135","0","0","3604","0","0","26880","0","21741","0","0","13173","0","11742",""
"Different State","117699","0","0","0","14149","31735","0","0","4471","10162","2515","12103","0","18771","0","5532","0","0","18261","0","0",""
"Same County","280903","0","18113","61321","3919","0","0","5135","8709","0","41876","43147","8270","20327","11884","29460","2126","0","9393","0","17223",""
" -> Total -> Total Massachusetts","6717165","6075926","41683","52765","97383","99859","10468","32432","0","7843","47053","76675","3046","33226","0","32229","40915","0","5936","0","59726",""
"Not Elsewhere Classified","6147360","6075926","7648","8161","13878","27935","0","0","0","0","0","0","0","0","0","0","10889","0","0","0","2923",""
"Different County, Same State","80488","0","5090","6897","5496","0","0","6597","0","2301","9157","22576","0","2645","0","6193","0","0","0","0","13536",""
"Different State","98821","0","0","3181","14696","49989","0","0","0","2417","5892","2916","0","0","0","0","17077","0","0","0","2653",""
"Same County","390496","0","28945","34526","63313","21935","10468","25835","0","3125","32004","51183","3046","30581","0","26036","12949","0","5936","0","40614",""
" -> Total -> Total Michigan","9777833","8748978","27324","93527","111802","73198","15658","67189","0","1570","79594","145252","92078","120852","57145","54055","19505","0","42702","0","27404",""
"Not Elsewhere Classified","8759533","8748978","0","0","1787","4200","0","0","0","0","0","0","0","0","0","0","4568","0","0","0","0",""
"Different County, Same State","212583","0","7511","19486","39383","13494","7222","16039","0","0","17474","24147","6235","4085","11791","6441","11052","0","20004","0","8219",""
"Different State","87199","0","0","0","11983","43692","8436","3344","0","0","0","1364","9902","0","6549","0","0","0","1929","0","0",""
"Same County","718518","0","19813","74041","58649","11812","0","47806","0","1570","62120","119741","75941","116767","38805","47614","3885","0","20769","0","19185",""
" -> Total -> Total Minnesota","5269851","4799489","45814","22935","92220","37510","0","33751","0","0","38230","60516","0","40293","0","39861","0","4143","12495","0","42594",""
"Not Elsewhere Classified","4813136","4799489","0","0","6102","1992","0","0","0","0","3031","0","0","0","0","0","0","0","0","0","2522",""
"Different County, Same State","194976","0","17190","10232","24246","25795","0","21422","0","0","7002","10746","0","24870","0","18359","0","0","4236","0","30878",""
"Different State","74340","0","3289","6427","38915","9723","0","0","0","0","0","6657","0","3328","0","0","0","4143","0","0","1858",""
"Same County","187399","0","25335","6276","22957","0","0","12329","0","0","28197","43113","0","12095","0","21502","0","0","8259","0","7336",""
" -> Total -> Total Mississippi","2853500","2570450","8801","53765","43430","41293","4327","8963","0","4903","20730","26689","0","6074","7337","5037","23209","2821","5754","0","19917",""
"Not Elsewhere Classified","2580838","2570450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8590","0","0","0","1798",""
"Different County, Same State","57404","0","3358","10751","13050","6689","0","2468","0","0","7939","0","0","3661","0","0","4464","2821","721","0","1482",""
"Different State","61418","0","0","1829","10731","27104","0","1304","0","4903","0","0","0","0","6316","0","4103","0","3879","0","1249",""
"Same County","153840","0","5443","41185","19649","7500","4327","5191","0","0","12791","26689","0","2413","1021","5037","6052","0","1154","0","15388",""
" -> Total -> Total Missouri","5893293","5112143","15401","176629","101551","66044","13443","47620","0","10421","67351","74851","53606","57232","0","48322","8724","3688","16412","0","19855",""
"Not Elsewhere Classified","5133803","5112143","3089","0","0","3089","11608","0","0","0","0","0","0","0","0","0","0","0","0","0","3874",""
"Different County, Same State","237100","0","5105","58923","22703","33987","0","10392","0","7070","41384","13415","10854","8460","0","11386","8724","0","3223","0","1474",""
"Different State","121661","0","0","7182","29806","23817","1835","1473","0","3351","0","3736","7379","15978","0","4854","0","3688","4055","0","14507",""
"Same County","400729","0","7207","110524","49042","5151","0","35755","0","0","25967","57700","35373","32794","0","32082","0","0","9134","0","0",""
" -> Total -> Total Montana","1020334","871747","7730","11839","27312","13261","4130","7866","4815","1788","9447","19075","429","11678","0","10138","8002","0","284","0","10793",""
"Not Elsewhere Classified","873242","871747","0","605","405","0","0","0","0","0","0","0","0","0","0","0","485","0","0","0","0",""
"Different County, Same State","33310","0","1371","2025","6187","7533","2149","2269","645","0","0","1475","0","461","0","3099","1502","0","0","0","4594",""
"Different State","32258","0","1597","1577","11462","4530","1981","1483","3488","986","0","0","0","316","0","663","0","0","0","0","4175",""
"Same County","81524","0","4762","7632","9258","1198","0","4114","682","802","9447","17600","429","10901","0","6376","6015","0","284","0","2024",""
" -> Total -> Total Nebraska","1871634","1628292","13623","28807","34211","12997","0","23981","0","6744","19205","31554","8656","23803","0","14273","6548","0","10749","0","8191",""
"Not Elsewhere Classified","1633892","1628292","0","0","0","0","0","0","0","4158","0","0","0","0","0","0","0","0","1442","0","0",""
"Different County, Same State","52404","0","9574","4344","3917","9612","0","15500","0","0","2009","5530","0","0","0","0","0","0","0","0","1918",""
"Different State","43573","0","548","4746","18198","3385","0","2961","0","2586","1288","0","0","1514","0","0","0","0","5374","0","2973",""
