"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Different State","187940","0","7483","3429","12744","128922","0","0","3298","0","8900","2428","0","0","10073","2163","0","5031","3469","0","0",""
"Same County","387850","0","10210","52099","75490","4175","9008","16513","0","0","38178","88122","8841","29290","0","28422","0","0","0","0","27502",""
" -> Total -> Total Montana","1032837","919877","3952","5315","10854","18267","906","4273","4485","699","10804","18640","1151","7151","3052","3453","3946","4267","2425","0","9320",""
"Not Elsewhere Classified","922678","919877","245","0","2556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","22252","0","0","685","3379","4186","436","410","931","0","0","4602","1151","470","3052","0","1374","0","934","0","642",""
"Different State","29261","0","753","0","2995","11958","470","0","3554","699","0","1895","0","1278","0","0","598","3493","0","0","1568",""
"Same County","58646","0","2954","4630","1924","2123","0","3863","0","0","10804","12143","0","5403","0","3453","1974","774","1491","0","7110",""
" -> Total -> Total Nebraska","1854576","1668421","27344","11874","47822","22118","0","11759","0","0","13130","13575","3164","11354","2940","5894","5986","0","3623","0","5572",""
"Not Elsewhere Classified","1670105","1668421","0","0","1684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","23428","0","676","0","5821","8115","0","6143","0","0","0","0","0","0","0","0","667","0","676","0","1330",""
"Different State","56485","0","22984","0","10253","11668","0","0","0","0","5599","0","0","0","1460","695","3826","0","0","0","0",""
"Same County","104558","0","3684","11874","30064","2335","0","5616","0","0","7531","13575","3164","11354","1480","5199","1493","0","2947","0","4242",""
" -> Total -> Total Nevada","2941486","2514297","22502","62267","73666","27716","813","27225","4467","0","36712","36230","16091","43887","3758","15665","0","5427","22134","0","28629",""
"Not Elsewhere Classified","2519158","2514297","0","0","0","4861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","12305","0","0","0","10602","0","0","0","0","0","0","0","0","1703","0","0","0","0","0","0","0",""
"Different State","89706","0","2664","14651","19513","15932","0","1177","3349","0","0","0","0","9217","0","1598","0","5427","3561","0","12617",""
"Same County","320317","0","19838","47616","43551","6923","813","26048","1118","0","36712","36230","16091","32967","3758","14067","0","0","18573","0","16012",""
" -> Total -> Total New Hampshire","1303513","1187512","2595","4094","21382","14313","1800","17794","0","0","2039","6476","0","11136","0","18445","2366","0","4965","2704","5892",""
"Not Elsewhere Classified","1187865","1187512","0","0","353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","31207","0","0","878","1444","6537","0","14152","0","0","0","0","0","2800","0","4002","0","0","0","0","1394",""
"Different State","25718","0","0","2495","4420","3039","1800","0","0","0","0","0","0","1588","0","4599","2366","0","1408","2704","1299",""
"Same County","58723","0","2595","721","15165","4737","0","3642","0","0","2039","6476","0","6748","0","9844","0","0","3557","0","3199",""
" -> Total -> Total New Jersey","8290102","7847201","46845","41074","52191","30651","5017","42487","20101","0","12796","96302","3449","28095","8488","22409","8105","0","5526","0","19365",""
"Not Elsewhere Classified","7863964","7847201","0","0","6528","5478","1695","0","0","0","0","0","0","0","0","0","0","0","0","0","3062",""
"Different County, Same State","88886","0","18523","14024","0","4914","0","15756","0","0","2275","10547","0","7412","0","6144","0","0","0","0","9291",""
"Different State","75532","0","0","0","1598","20259","0","25083","0","0","2275","4232","3449","2257","0","2748","8105","0","5526","0","0",""
"Same County","261720","0","28322","27050","44065","0","3322","1648","20101","0","8246","81523","0","18426","8488","13517","0","0","0","0","7012",""
" -> Total -> Total New Mexico","1980554","1811152","2851","21123","25194","39343","0","13696","3684","2591","4551","16691","2207","5080","1646","11169","10782","1773","3159","0","3862",""
"Not Elsewhere Classified","1811152","1811152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","19197","0","0","1243","4039","5154","0","0","0","2591","0","0","0","0","0","1558","3350","0","1262","0","0",""
"Different State","61933","0","1863","1007","7645","33348","0","5107","1970","0","0","0","0","0","0","4828","3823","1773","569","0","0",""
"Same County","88272","0","988","18873","13510","841","0","8589","1714","0","4551","16691","2207","5080","1646","4783","3609","0","1328","0","3862",""
" -> Total -> Total New York","18810132","17432283","56157","130088","112814","161337","9304","110217","20851","33081","125597","295068","64583","75604","0","33682","43052","0","21370","0","85044",""
"Not Elsewhere Classified","17522295","17432283","18140","0","13078","28825","3336","1892","0","0","0","1819","0","0","0","0","18072","0","0","0","4850",""
"Different County, Same State","268435","0","3718","17020","6004","41982","0","25711","14440","0","40668","48280","7217","12229","0","13504","0","0","6597","0","31065",""
"Different State","210384","0","0","26317","28277","59159","5968","19723","2955","0","27437","12293","0","0","0","0","20461","0","0","0","7794",""
"Same County","809018","0","34299","86751","65455","31371","0","62891","3456","33081","57492","232676","57366","63375","0","20178","4519","0","14773","0","41335",""
" -> Total -> Total North Carolina","10339217","9185300","60543","125533","197222","196896","11844","67207","14925","32818","16898","185907","32351","37654","1716","41028","29743","12916","7284","23147","58285",""
"Not Elsewhere Classified","9198618","9185300","0","0","7507","3661","0","0","0","0","0","0","0","2150","0","0","0","0","0","0","0",""
"Different County, Same State","243626","0","5770","17405","60688","51413","4106","14623","0","2805","14565","22850","4294","0","1716","22588","17043","0","0","0","3760",""
"Different State","256744","0","3872","19743","42861","117594","3616","0","14925","24682","0","0","0","7706","0","1869","0","12916","0","0","6960",""
"Same County","640229","0","50901","88385","86166","24228","4122","52584","0","5331","2333","163057","28057","27798","0","16571","12700","0","7284","23147","47565",""
" -> Total -> Total North Dakota","729835","632600","3865","15406","6994","16174","5002","5728","717","810","2037","20018","1163","4816","0","3521","2881","0","1339","0","6764",""
"Not Elsewhere Classified","640957","632600","0","557","0","5175","0","0","0","0","0","0","0","0","0","0","772","0","0","0","1853",""
"Different County, Same State","9379","0","465","1576","253","389","4196","1099","717","0","0","127","0","0","0","0","253","0","304","0","0",""
