Source: CPS Annual Social and Economic (March) Supplement 201803
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Same County","61850","0","3594","11015","3844","2846","0","420","0","0","15213","6681","1745","4560","560","5089","0","872","0","0","5411",""
" -> Total -> Total South Carolina","4802337","4424643","14016","66911","28534","32133","10535","28054","9870","7410","27295","68634","0","1146","7307","17637","11680","4399","1350","0","40783",""
"Not Elsewhere Classified","4424643","4424643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","110514","0","6099","2793","3348","9964","2141","9652","0","3702","6494","39606","0","0","7307","6104","3233","0","0","0","10071",""
"Different State","46622","0","3128","0","4854","17025","2427","14789","0","0","0","0","0","0","0","0","0","4399","0","0","0",""
"Same County","220558","0","4789","64118","20332","5144","5967","3613","9870","3708","20801","29028","0","1146","0","11533","8447","0","1350","0","30712",""
" -> Total -> Total South Dakota","834620","740416","2746","13769","11678","10520","3036","10437","0","0","2192","21176","1345","2830","0","4648","6164","0","1911","0","1752",""
"Not Elsewhere Classified","743548","740416","0","0","0","2449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","683",""
"Different County, Same State","23624","0","0","765","4016","3835","927","6774","0","0","0","4312","0","0","0","1131","541","0","588","0","735",""
"Different State","12118","0","922","0","4153","2418","1533","0","0","0","0","0","0","608","0","0","2484","0","0","0","0",""
"Same County","55330","0","1824","13004","3509","1818","576","3663","0","0","2192","16864","1345","2222","0","3517","3139","0","1323","0","334",""
" -> Total -> Total Tennessee","6470401","5833313","29757","189323","30348","45198","12875","50705","21817","2397","12744","56391","28974","27062","0","25838","40711","0","13878","0","49070",""
"Not Elsewhere Classified","5840658","5833313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7345",""
"Different County, Same State","102039","0","0","32410","6918","10563","3230","8390","4475","0","0","15427","0","9057","0","0","0","0","0","0","11569",""
"Different State","92569","0","0","17226","6192","21894","9645","6902","17342","2397","0","0","0","5245","0","0","5726","0","0","0","0",""
"Same County","435135","0","29757","139687","17238","12741","0","35413","0","0","12744","40964","28974","12760","0","25838","34985","0","13878","0","30156",""
" -> Total -> Total Texas","27222917","24251650","98284","241177","335875","406705","75169","266477","20034","68303","252094","318290","128301","203330","29462","188655","74931","7149","34660","88366","134005",""
"Not Elsewhere Classified","24335475","24251650","6388","0","9315","16931","0","0","0","13838","3800","0","0","0","0","0","4796","0","2161","0","26596",""
"Different County, Same State","500986","0","11472","38499","53633","92813","35661","38716","0","17143","6565","21575","0","44183","7301","33886","24985","0","9116","9086","56352",""
"Different State","439458","0","17708","0","71862","196980","0","21791","5820","6772","0","23312","4631","12864","0","35117","24895","2942","0","4589","10175",""
"Same County","1946998","0","62716","202678","201065","99981","39508","205970","14214","30550","241729","273403","123670","146283","22161","119652","20255","4207","23383","74691","40882",""
" -> Total -> Total Utah","3106254","2748343","13546","45998","38189","75457","0","15290","12326","775","39476","33610","2470","11144","3267","23721","18594","0","1623","0","22425",""
"Not Elsewhere Classified","2759339","2748343","0","3655","1725","5616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","80406","0","3888","10951","14684","23556","0","1610","9576","775","5781","0","0","0","0","0","1687","0","918","0","6980",""
"Different State","62349","0","0","0","8634","32973","0","0","0","0","3898","822","0","0","0","0","12758","0","0","0","3264",""
"Same County","204160","0","9658","31392","13146","13312","0","13680","2750","0","29797","32788","2470","11144","3267","23721","4149","0","705","0","12181",""
" -> Total -> Total Vermont","610834","547731","6779","2812","6797","5925","0","1316","383","2268","9294","9490","2160","3644","0","8878","1811","0","801","0","745",""
"Not Elsewhere Classified","550971","547731","0","0","0","972","0","0","0","2268","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","14678","0","3987","539","2039","1411","0","1316","0","0","2503","967","0","1089","0","827","0","0","0","0","0",""
"Different State","7107","0","450","441","404","2958","0","0","0","0","798","0","1372","684","0","0","0","0","0","0","0",""
"Same County","38078","0","2342","1832","4354","584","0","0","383","0","5993","8523","788","1871","0","8051","1811","0","801","0","745",""
" -> Total -> Total Virginia","8185152","7164474","36321","128073","53617","178610","3548","15124","29978","31243","54922","102949","69590","128390","0","59364","34038","6516","2079","0","86316",""
"Not Elsewhere Classified","7255990","7164474","0","1861","0","66451","0","0","0","6005","0","0","3745","0","0","1919","6871","0","0","0","4664",""
"Different County, Same State","333053","0","1984","69001","19855","43359","3548","10424","4116","6664","12106","38855","45634","16817","0","13478","3691","0","0","0","43521",""
"Different State","213833","0","17891","9846","17948","53767","0","0","14394","6419","1847","0","10121","46463","0","10350","7304","6516","0","0","10967",""
"Same County","382276","0","16446","47365","15814","15033","0","4700","11468","12155","40969","64094","10090","65110","0","33617","16172","0","2079","0","27164",""
" -> Total -> Total Washington","7358797","6441563","30553","61992","119049","100058","12117","49291","0","18834","67220","178029","8599","111785","5255","97747","13928","6671","3637","0","32469",""
"Not Elsewhere Classified","6480317","6441563","3900","8167","5714","11142","2720","2136","0","3746","0","0","0","0","0","0","0","0","0","0","1229",""
"Different County, Same State","109124","0","4801","1911","5204","18166","0","5991","0","1739","12948","5375","6891","42283","0","0","1756","0","0","0","2059",""
"Different State","181330","0","5670","1942","45322","56472","9397","0","0","13349","0","12597","0","5605","0","10272","10396","6671","3637","0","0",""
"Same County","588026","0","16182","49972","62809","14278","0","41164","0","0","54272","160057","1708","63897","5255","87475","1776","0","0","0","29181",""
" -> Total -> Total West Virginia","1775787","1643686","3410","13443","25418","4818","6155","3713","1171","2784","1350","30004","589","8111","708","16682","6244","0","3869","0","3632",""
"Not Elsewhere Classified","1647494","1643686","0","0","0","3065","743","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","35437","0","669","1141","8681","1113","4475","0","0","0","1350","8744","0","1497","0","2353","1624","0","2133","0","1657",""
"Different State","18938","0","697","0","9335","640","246","0","0","2104","0","1543","0","2096","0","780","812","0","0","0","685",""
"Same County","73918","0","2044","12302","7402","0","691","3713","1171","680","0","19717","589","4518","708","13549","3808","0","1736","0","1290",""
" -> Total -> Total Wisconsin","5858174","5279809","21830","101820","53027","38791","3536","12303","0","4325","35119","130056","0","75076","0","23072","25918","0","3305","0","50187",""
"Not Elsewhere Classified","5284134","5279809","0","0","0","0","0","0","0","4325","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","91087","0","0","23066","12341","11175","0","3517","0","0","0","18662","0","9318","0","5009","0","0","0","0","7999",""
"Different State","109365","0","0","0","20971","27616","3536","0","0","0","0","3567","0","0","0","0","20803","0","0","0","32872",""
"Same County","373588","0","21830","78754","19715","0","0","8786","0","0","35119","107827","0","65758","0","18063","5115","0","3305","0","9316",""
" -> Total -> Total Wyoming","553529","469036","5953","14743","11262","12432","567","311","1319","2229","2398","12606","748","8752","1773","1662","3211","510","1851","0","2166",""
"Not Elsewhere Classified","470198","469036","138","0","0","831","0","0","0","0","0","0","0","0","0","0","193","0","0","0","0",""
"Different County, Same State","5624","0","0","0","0","2767","567","0","0","0","0","0","0","525","0","0","994","510","0","0","261",""
"Different State","21974","0","827","4472","4709","5554","0","0","744","895","0","0","748","1413","0","0","1381","0","629","0","602",""
"Same County","55733","0","4988","10271","6553","3280","0","311","575","1334","2398","12606","0","6814","1773","1662","643","0","1222","0","1303",""
