Source: CPS Annual Social and Economic (March) Supplement 201603
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Different State","31828","0","5096","3005","757","8038","909","3798","1854","0","1052","1025","0","0","0","1247","5047","0","0","0","0",""
"Same County","61700","0","5232","9842","11304","884","0","0","0","0","1253","11882","6790","4039","0","8837","677","0","960","0","0",""
" -> Total -> Total South Carolina","4668494","4228663","16786","31349","87553","55101","44360","6136","0","0","31005","45302","12250","20593","2244","42052","25618","2118","9699","2411","5254",""
"Not Elsewhere Classified","4247337","4228663","0","0","0","0","2674","0","0","0","0","0","0","0","0","5206","10794","0","0","0","0",""
"Different County, Same State","124719","0","0","4858","32762","9850","25513","2237","0","0","25024","0","5926","6944","0","0","6354","2118","0","0","3133",""
"Different State","98825","0","4309","4453","28498","41477","6579","0","0","0","0","7808","0","0","0","5701","0","0","0","0","0",""
"Same County","197613","0","12477","22038","26293","3774","9594","3899","0","0","5981","37494","6324","13649","2244","31145","8470","0","9699","2411","2121",""
" -> Total -> Total South Dakota","851106","759717","2226","11989","14599","14805","2121","5765","724","335","0","14531","4658","0","667","10154","2393","0","629","0","5793",""
"Not Elsewhere Classified","763210","759717","0","0","294","0","0","0","0","0","0","271","0","0","0","0","2393","0","0","0","535",""
"Different County, Same State","22392","0","357","545","6491","8659","2121","2284","0","0","0","0","0","0","0","1935","0","0","0","0","0",""
"Different State","19438","0","306","6024","6911","4197","0","643","724","335","0","0","0","0","0","298","0","0","0","0","0",""
"Same County","46066","0","1563","5420","903","1949","0","2838","0","0","0","14260","4658","0","667","7921","0","0","629","0","5258",""
" -> Total -> Total Tennessee","6505419","5852911","64438","53889","59209","85169","4944","27989","0","0","31966","108639","17977","80978","0","31063","42160","15428","1144","0","27515",""
"Not Elsewhere Classified","5854031","5852911","0","0","1120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","101377","0","14723","19584","6028","6154","0","4437","0","0","0","10857","11887","0","0","9214","5781","2135","0","0","10577",""
"Different State","83520","0","4897","0","5868","48276","3347","0","0","0","0","2603","0","8366","0","0","1501","5519","0","0","3143",""
"Same County","466491","0","44818","34305","46193","30739","1597","23552","0","0","31966","95179","6090","72612","0","21849","34878","7774","1144","0","13795",""
" -> Total -> Total Texas","26809572","23348154","128173","407760","406813","438594","66270","317699","33497","20839","108650","668780","117246","245825","15491","159323","76540","48930","62624","0","138364",""
"Not Elsewhere Classified","23500120","23348154","6639","11123","17120","48453","6600","0","1644","13646","0","20115","1804","0","0","0","11901","0","0","0","12921",""
"Different County, Same State","804905","0","29278","32300","155958","106379","24249","139764","10543","0","10269","114380","35490","38155","9909","8017","29239","17722","11804","0","31449",""
"Different State","438752","0","5690","10607","99621","216095","19546","4010","0","0","0","22912","12812","11815","0","4804","7461","4633","5628","0","13118",""
"Same County","2065795","0","86566","353730","134114","67667","15875","173925","21310","7193","98381","511373","67140","195855","5582","146502","27939","26575","45192","0","80876",""
" -> Total -> Total Utah","3086490","2646643","27039","29301","59425","41572","0","19309","13631","12458","45582","72650","0","15060","4618","57019","20115","0","4497","0","17571",""
"Not Elsewhere Classified","2655561","2646643","0","0","773","5305","0","0","0","1903","0","0","0","0","0","0","0","0","0","0","937",""
"Different County, Same State","65476","0","0","0","4808","17694","0","16828","2708","3810","8059","6046","0","0","0","0","3451","0","0","0","2072",""
"Different State","62884","0","5436","0","29410","15891","0","0","0","4245","0","0","0","0","0","0","6395","0","0","0","1507",""
"Same County","302569","0","21603","29301","24434","2682","0","2481","10923","2500","37523","66604","0","15060","4618","57019","10269","0","4497","0","13055",""
" -> Total -> Total Vermont","606198","550655","3283","5319","5742","4031","748","5472","0","185","2727","6115","2186","2585","0","3662","11825","0","1335","0","328",""
"Not Elsewhere Classified","553458","550655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2475","0","0","0","328",""
"Different County, Same State","9359","0","529","366","1201","856","0","1154","0","0","0","0","0","0","0","1088","4165","0","0","0","0",""
"Different State","11297","0","2163","351","2003","2604","351","0","0","185","0","0","2186","865","0","589","0","0","0","0","0",""
"Same County","32084","0","591","4602","2538","571","397","4318","0","0","2727","6115","0","1720","0","1985","5185","0","1335","0","0",""
" -> Total -> Total Virginia","8242667","7114356","50402","118344","110595","112795","32022","38845","0","43690","77219","175781","27389","41082","6444","142179","50551","48564","22898","0","29511",""
"Not Elsewhere Classified","7151892","7114356","8013","0","1498","13097","0","0","0","7155","0","0","0","7773","0","0","0","0","0","0","0",""
"Different County, Same State","456792","0","12361","32802","59111","47750","15342","26375","0","0","34373","70628","14114","22022","0","65491","16080","19758","10675","0","9910",""
"Different State","211531","0","17416","11881","21068","48242","16680","0","0","29801","2357","26772","0","0","0","11331","4409","17868","0","0","3706",""
"Same County","422452","0","12612","73661","28918","3706","0","12470","0","6734","40489","78381","13275","11287","6444","65357","30062","10938","12223","0","15895",""
" -> Total -> Total Washington","7247419","6351600","56417","86225","111603","138815","21319","67724","7295","0","97285","58398","29776","68337","0","27558","58377","3229","11082","0","52379",""
"Not Elsewhere Classified","6376805","6351600","1515","0","3409","5089","0","0","0","0","0","0","0","0","0","0","2579","0","2154","0","10459",""
"Different County, Same State","213319","0","8284","6563","10601","42709","2653","39190","0","0","64122","6275","0","4190","0","5529","13454","0","3141","0","6608",""
"Different State","192528","0","3556","3175","61718","81897","9603","0","0","0","0","0","0","0","0","0","13484","3229","0","0","15866",""
"Same County","464767","0","43062","76487","35875","9120","9063","28534","7295","0","33163","52123","29776","64147","0","22029","28860","0","5787","0","19446",""
" -> Total -> Total West Virginia","1777006","1650688","2367","18916","15137","10821","4764","12959","0","1704","14660","8336","5908","5236","0","12079","1482","0","1643","0","10306",""
"Not Elsewhere Classified","1650961","1650688","0","0","0","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","22022","0","0","4882","1616","4508","0","1931","0","653","743","1145","0","1716","0","3051","0","0","1125","0","652",""
"Different State","24341","0","794","716","6716","3009","4764","0","0","1051","0","894","0","1305","0","1412","790","0","0","0","2890",""
"Same County","79682","0","1573","13318","6805","3031","0","11028","0","0","13917","6297","5908","2215","0","7616","692","0","518","0","6764",""
" -> Total -> Total Wisconsin","5533263","4793246","57880","77766","64950","60102","3194","22995","9875","0","40730","173330","33122","60577","15900","48228","25864","0","23809","0","21695",""
"Not Elsewhere Classified","4796824","4793246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3578","0","0","0","0",""
"Different County, Same State","187494","0","6847","10765","11637","21147","0","8575","3149","0","4379","44254","5991","20885","0","34217","3372","0","12276","0","0",""
"Different State","88720","0","3921","4103","25301","33859","0","0","0","0","0","0","0","0","0","4475","17061","0","0","0","0",""
"Same County","460225","0","47112","62898","28012","5096","3194","14420","6726","0","36351","129076","27131","39692","15900","9536","1853","0","11533","0","21695",""
" -> Total -> Total Wyoming","569041","502150","3007","10179","6573","3994","380","2966","315","859","8241","8786","366","5343","0","4990","6087","0","1642","0","3163",""
"Not Elsewhere Classified","502498","502150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","348","0","0","0","0",""
"Different County, Same State","7934","0","0","979","294","0","0","615","0","859","0","0","0","1126","0","0","3286","0","429","0","346",""
"Different State","11177","0","935","0","1494","3994","380","1655","315","0","0","235","366","0","0","0","986","0","0","0","817",""
"Same County","47432","0","2072","9200","4785","0","0","696","0","0","8241","8551","0","4217","0","4990","1467","0","1213","0","2000",""
