date,Metro,State,Net flow
2018/1/1,Charlotte,NC,1033
2018/1/1,Raleigh,NC,1023
2018/1/1,Nashville,TN,844
2018/1/1,Philadelphia,PA,793
2018/1/1,San Antonio,TX,735
2018/1/1,Reno,NV,593
2018/1/1,North Port,FL,584
2018/1/1,Cape Coral,FL,527
2018/1/1,Tucson,AZ,504
2018/1/1,Colorado Springs,CO,491
2018/1/1,San Luis Obispo,CA,468
2018/1/1,Salt Lake City,UT,413
2018/1/1,Jacksonville,FL,368
2018/1/1,Salinas,CA,349
2018/1/1,Pittsburgh,PA,346
2018/1/1,Portland,ME,340
2018/1/1,Urban Honolulu,HI,326
2018/1/1,Bakersfield,CA,293
2018/1/1,Bellingham,WA,287
2018/1/1,Albuquerque,NM,283
2018/1/1,Fresno,CA,229
2018/1/1,Minneapolis,MN,210
2018/1/1,Modesto,CA,208
2018/1/1,Virginia Beach,VA,205
2018/1/1,Charleston,SC,200
2018/1/1,Orlando,FL,188
2018/1/1,Cleveland,OH,172
2018/1/1,Richmond,VA,161
2018/1/1,Santa Maria,CA,154
2018/1/1,Columbus,OH,122
2018/1/1,Indianapolis,IN,117
2018/1/1,Madison,WI,111
2018/1/1,Fort Collins,CO,109
2018/1/1,New Orleans,LA,103
2018/1/1,Grand Rapids,MI,97
2018/1/1,Buffalo,NY,70
2018/1/1,Cincinnati,OH,70
2018/1/1,Kansas City,MO,70
2018/1/1,Memphis,TN,42
2018/1/1,Greensboro,NC,37
2018/1/1,Milwaukee,WI,37
2018/1/1,Oklahoma City,OK,32
2018/1/1,St. Louis,MO,29
2018/1/1,Birmingham,AL,26
2018/1/1,Greenville,SC,26
2018/1/1,Albany,NY,10
2018/1/1,Baton Rouge,LA,8
2018/1/1,Louisville,KY,-4
2018/1/1,Knoxville,TN,-30
2018/1/1,Rochester,NY,-38
2018/1/1,Dayton,OH,-40
2018/1/1,Omaha,NE,-49
2018/1/1,Boston,MA,-63
2018/1/1,Detroit,MI,-131
2018/1/1,Eugene,OR,-245
2018/1/1,Houston,TX,-297
2018/1/1,Denver,CO,-309
2018/1/1,Chicago,IL,-2023
2018/1/1,Seattle,WA,-2270
2018/1/1,Washington,DC,-4209
2018/1/1,Los Angeles,CA,-7189
2018/1/1,New York,NY,-11707
2018/1/1,San Jose,CA,-15137
2018/4/1,Phoenix,AZ,6349
2018/4/1,Sacramento,CA,6208
2018/4/1,Atlanta,GA,5112
2018/4/1,Las Vegas,NV,3786
2018/4/1,Portland,OR,3614
2018/4/1,Austin,TX,3212
2018/4/1,Dallas,TX,2979
2018/4/1,Miami,FL,2575
2018/4/1,San Diego,CA,2537
2018/4/1,Nashville,TN,2462
2018/4/1,Tampa,FL,2436
2018/4/1,Raleigh,NC,2092
2018/4/1,Charlotte,NC,1908
2018/4/1,Boston,MA,1862
2018/4/1,San Antonio,TX,1483
2018/4/1,Philadelphia,PA,1211
2018/4/1,Bend,OR,1172
2018/4/1,Cape Coral,FL,1039
2018/4/1,North Port,FL,1024
2018/4/1,Boise City,ID,1011
2018/4/1,Colorado Springs,CO,990
2018/4/1,Portland,ME,917
2018/4/1,Reno,NV,906
2018/4/1,Jacksonville,FL,892
2018/4/1,Seattle,WA,853
